roll;pitch;yaw;AccX;Number;AccY;AccZ;GyrX;GyrY;GyrZ;MagX;MagY;MagZ;AccXNew;Random
-4.40970303712;23.8171059134;10.8637356956;-14647;89;-472;10932;894;-7774;-3576;-120;31;-90;-7850;6797
-7.60282686388;15.9947106204;10.5170530607;-11286;90;-1912;9972;-2833;-8840;-835;-77;13;-16400;-10198;1088
-10.3280347289;4.32968881933;9.26874021095;-5108;91;-5118;26734;-2876;-7239;-1905;-71;-16;-8212;4752;9860
-19.6854156847;5.25036766404;4.73984358965;-4739;92;-5318;3133;-1990;-4136;-713;-82;-11;-33;3329;8068
-21.8307512597;1.98628936634;9.89645122103;-5132;93;-4730;12720;1549;-7472;-362;-60;16389;-16386;-4730;402
-29.7428872608;-5.54068246875;19.7024542868;-1145;94;-6442;18332;-2686;-7307;-4007;-35;24592;11;516;1661
-13.4672199794;-2.84818951628;26.5224174101;-12689;95;2616;18754;4505;-2009;2213;-42;55;16388;-4104;8585
-9.94200576669;-13.6168457765;26.25590585;230;96;949;14769;-2481;-2916;-6166;-48;24579;24576;3214;2984
-10.3652975246;-24.2590113213;33.4247451;1045;97;-4515;13543;-587;-5758;33;-49;24572;32763;9987;8942
-13.5534065673;-22.1950943593;23.0055269945;-921;98;-4192;9210;-5489;-2382;-1887;-72;-29;-32;-744;177
-5.90638954738;-27.0577330523;17.450150043;-3871;99;-2981;16560;2751;-8137;-483;-57;-11;-8;-2911;960
-12.4493537092;-28.320842508;31.2410375093;1114;100;-6749;16476;-1139;-5075;-1022;-83;16418;-24;6647;5533
